question_text,year,subject
血中LD/AST 比が 1 のとき、最も考えられるのはどれか。,2023,臨床化学
欠乏すると巨赤芽球性貧血を引き起こすのはどれか。 2 つ選べ。,2023,臨床化学
ビタミンB6 の誘導体を補酵素とするのはどれか。,2023,臨床化学
子宮頸部擦過細胞診のPapanicolaou 染色標本（別冊No. 8）を別に示す。 Bethesda システムによる判定はどれか。,2023,病理
病理解剖の目的として正しいのはどれか。 2 つ選べ。,2023,病理
H-E 染色標本（別冊No. 9Ａ）とパラフィンブロックの肉眼写真（別冊No. 9Ｂ）を別に示す。H-E 染色標本にみられる問題の原因はどれか。,2023,病理
気管支の特殊染色標本（別冊No. 10）を別に示す。染色法はどれか。,2023,病理
甲状腺濾胞細胞で産生されるのはどれか。,2023,病理
平滑筋で構成されるのはどれか。,2023,病理
血栓の誘因となりにくいのはどれか。,2023,病理
我が国における肺の悪性腫瘍のうち最も頻度が高いのはどれか。,2023,病理
遺伝子解析の際に推奨される脱灰液はどれか。,2023,病理
細胞診検査材料のうち、最も低速遠心で集細胞法を行うのはどれか。,2023,病理
急性炎症で特徴的にみられる現象はどれか。 2 つ選べ。,2023,病理
静脈血が流れているのはどれか。 2 つ選べ。,2023,病理
H-E 染色のエオジン液に加えるのはどれか。,2023,病理
縦隔に含まれない臓器はどれか。,2023,病理
正しいのはどれか。,2023,血液
血液塗抹標本の染色法について誤っているのはどれか。,2023,血液
赤血球沈降速度が遅延するのはどれか。 2 つ選べ。,2023,血液
自動血球計数測定値の誤差要因とその影響の組合せで正しいのはどれか。 2 つ選べ。,2023,血液
引きガラス（ウェッジ）法での末梢血液塗抹標本の作製について誤っているのはどれか。,2023,血液
末梢血細胞のMay-Giemsa 染色標本（別冊No. 11Ａ）とフローサイトメトリの所見（別冊No. 11Ｂ）を別に示す。考えられるのはどれか。,2023,血液
骨髄芽球に当てはまるのはどれか。 2 つ選べ。,2023,血液
フィブリノゲンについて正しいのはどれか。 2 つ選べ。,2023,血液
正しいのはどれか。,2023,血液
世代時間が最も長いのはどれか。,2023,微生物
多剤耐性結核菌の判定に用いないのはどれか。,2023,微生物
腸管感染症患者の下痢便のGram 染色標本（別冊No. 12）を別に示す。矢印で示すのはどれか。,2023,微生物
カルバペネム系抗菌薬が有効なのはどれか。,2023,微生物
真菌に分類されるのはどれか。 2 つ選べ。,2023,微生物
培地と使用目的の組合せで正しいのはどれか。 2 つ選べ。,2023,微生物
WHO が提唱している手指衛生のタイミングに含まれないのはどれか。,2023,微生物
細菌と毒素の組合せで誤っているのはどれか。,2023,微生物
ハートインフュージョンブイヨンで培養した菌の染色標本（別冊No. 13）を別に示す。染色法はどれか。,2023,微生物
血中薬物濃度測定による治療薬物モニタリング〈TDM〉の対象となるのはどれか。,2023,微生物
ウイルスと疾患の組合せで正しいのはどれか。,2023,微生物
主要組織適合性遺伝子複合体〈MHC〉について正しいのはどれか。,2023,免疫
B 細胞はどれか。,2023,免疫
間接（受身）凝集反応で検出できないのはどれか。,2023,免疫
間接蛍光抗体法による抗核抗体検査所見（別冊No. 14）を別に示す。この所見から考えられるのはどれか。,2023,免疫
抗ミトコンドリア抗体が検出されるのはどれか。,2023,免疫
抗体を精製する方法でないのはどれか。,2023,免疫
受血者と供血者の血液型を以下に示す。輸血を行った場合、受血者が産生する可能性のある不規則抗体はどれか。,2023,免疫
緊急輸血が必要な患者が搬送された。血液型の確定ができない状況下で使用する輸血用血液製剤と血液型の組合せで正しいのはどれか。,2023,免疫
輸血検査の内部精度管理で、確認する必要性が低い項目はどれか。,2023,免疫
ABO 血液型について誤っているのはどれか。,2023,免疫
Th2 細胞が産生するサイトカインはどれか。 2 つ選べ。,2023,免疫
特定原材料として食品への表示が義務付けられているのはどれか。 2 つ選べ。,2023,公衆衛生
統合失調症で入院が必要と診断されたが、本人が入院を拒んだため、父親の同意によって入院させた。この場合の入院形態はどれか。,2023,公衆衛生
保健所の業務はどれか。 2 つ選べ。,2023,公衆衛生
公的医療保険の給付対象に含まれないのはどれか。,2023,公衆衛生
水道水質基準において、人の健康の保護のため「検出されないこと」と規定されているのはどれか。,2023,公衆衛生
100 M の負荷につながれた装置の消費電力が 100 W であった。 この装置の負荷を 200 M に変えたときの消費電力［W］はどれか。,2023,医用工学
医用電気機器のクラス別分類で正しいのはどれか。,2023,医用工学
静止画の標準的なファイル拡張子はどれか。 2 つ選べ。,2023,医用工学
医療情報システムで保健医療情報交換の標準規格はどれか。,2023,医用工学
37 ℃の媒質中における音速［m/s］として誤っているのはどれか。,2023,医用工学
物理量の変化が電気抵抗の変化として現れるトランスデューサはどれか。 2 つ選べ。,2023,医用工学
