question_text,year,subject
医療用MRIについて誤っているのはどれか。,2022(第68回),生理学
眼底写真(別冊No.9)を別に示す。矢印で示すのはどれか。,2022(第68回),生理学
水溶性ビタミンはどれか。2つ選べ。,2022(第68回),臨床化学
尿を検体として測定するのはどれか。,2022(第68回),臨床化学
過酸化水素・ペルオキシダーゼ系呈色反応に必要な試薬はどれか。2つ選べ。,2022(第68回),臨床化学
放射線に関する物理量と単位の組合せで正しいのはどれか。,2022(第68回),臨床化学
直接ビリルビンが高値を示すのはどれか。,2022(第68回),臨床化学
CK-MBが著しく上昇する疾患はどれか。,2022(第68回),臨床化学
アミラーゼについて誤っているのはどれか。,2022(第68回),臨床化学
eGFRの計算に使用するのはどれか。2つ選べ。,2022(第68回),臨床化学
レシチンコレステロールアシルトランスフェラーゼ〈LCAT〉を活性化するのはどれか。,2022(第68回),臨床化学
ビウレット法でキレート呈色反応を示すのはどれか。,2022(第68回),臨床化学
血中半減期が最も短いのはどれか。,2022(第68回),臨床化学
血中薬物濃度モニタリングの対象にならないのはどれか。,2022(第68回),臨床化学
インスリンの分泌を抑制するのはどれか。,2022(第68回),臨床化学
酸化還元酵素はどれか。,2022(第68回),臨床化学
Lambert-Beerの法則が成り立つ条件で、15μmolの物質AをXmLのイオン交換水に溶解し、光路長10mmのセルで吸光度を測定したところ0.945であった。Aのモル吸光度係数を6.3×10^3L・mol-1・cm-1とするとXはどれか。,2022(第68回),臨床化学
炭化水素鎖中に1つの二重結合を持つ脂肪酸はどれか。,2022(第68回),臨床化学
マイヤー〈Mayer〉とカラッチ〈Carazzi〉のヘマトキシリン液のどちらにも用いられるのはどれか。,2022(第68回),病理学
疾患とその診断に有用な染色法との組合せで誤っているのはどれか。,2022(第68回),病理学
細胞診標本上でみられる小細胞癌の形態学的特徴はどれか。,2022(第68回),病理学
H-E染色標本(別冊No.10)を別に示す。この臓器はどれか。,2022(第68回),病理学
健常成人で肝臓に接していないのはどれか。,2022(第68回),病理学
病理解剖において切開開始前の手順に含まれないのはどれか。,2022(第68回),病理学
癌抑制遺伝子はどれか。,2022(第68回),病理学
乳腺で癌が発生しやすい部位はどれか。,2022(第68回),病理学
電子顕微鏡標本作製時の工程と用いる試薬との組合せで正しいのはどれか。,2022(第68回),病理学
外胚葉から発生するのはどれか。2つ選べ。,2022(第68回),病理学
細胞診検体のGiemsa染色で正しいのはどれか。,2022(第68回),病理学
パラフィン包埋に用いられる硬パラフィンの融点に最も近いのはどれか。,2022(第68回),病理学
病理解剖時に摘出された臓器の肉眼写真(別冊No.11)を別に示す。臓器はどれか。,2022(第68回),病理学
ミトコンドリアが存在しないのはどれか。,2022(第68回),血液学
細胞形態の特徴と疾患の組合せで誤っているのはどれか。,2022(第68回),血液学
血栓性血小板減少性紫斑病で認められるのはどれか。2つ選べ。,2022(第68回),血液学
鉄欠乏性貧血および慢性炎症に伴う貧血で共通するのはどれか。2つ選べ。,2022(第68回),血液学
細胞浮遊液の細胞数を算定した。Bürker-Türk計算盤(別冊No.12)を別に示す。図中に赤字で示す数字は、赤点線で囲った各大区画にある細胞数である。検体は、希釈せず使用し、大区画の容積は0.1μL とする。細胞浮遊液の細胞数E/μL)はどれか。,2022(第68回),血液学
肝臓で合成されないのはどれか。,2022(第68回),血液学
末梢血のMay-Giemsa染色標本(別冊No.13)を別に示す。認められるのはどれか。,2022(第68回),血液学
リン脂質依存性凝固反応に関与するのはどれか。,2022(第68回),血液学
骨髄穿刺液のMay-Giemsa染色標本(別冊No.14)を別に示す。矢印の細胞が腫瘍化した疾患はどれか。,2022(第68回),血液学
骨髄細胞の染色体核型(別冊No.15)を別に示す。矢印の染色体異常に関与するのはどれか。,2022(第68回),血液学
髄液のGram染色標本(別冊No.16)を別に示す。分離菌はヒツジ血液寒天培地に発育し、グルコース及びマルトースを分解した。推定されるのはどれか。,2022(第68回),微生物学
エンベロープを持つのはどれか。,2022(第68回),微生物学
微生物検査結果について緊急報告が必要でないのはどれか。,2022(第68回),微生物学
喀痰のGram染色で染まりにくいのはどれか。,2022(第68回),微生物学
5％炭酸ガス培養下のヒツジ血液寒天培地に発育するのはどれか。2つ選べ。,2022(第68回),微生物学
血液培養の採血時に皮膚の消毒に用いるのはどれか。2つ選べ。,2022(第68回),微生物学
多剤耐性緑膿菌〈MDRP〉の判定に使用される抗菌薬はどれか。,2022(第68回),微生物学
偏性細胞内寄生性を有するのはどれか。,2022(第68回),微生物学
スライド培養の顕微鏡写真(別冊No.17)を別に示す。大分生子を矢印で示す。考えられるのはどれか。,2022(第68回),微生物学
TSI培地に腸内細菌科細菌を接種して1日後の写真(別冊No.18)を別に示す。判定として誤っているのはどれか。,2022(第68回),微生物学
Listeria monocytogenesについて誤っているのはどれか。,2022(第68回),微生物学
次の文を読み、問いに答えよ。38歳の女性。発熱を主訴に来院した。間接蛍光抗体法による抗核抗体検査所見(別冊No.19)を別に示す。この所見の染色パターンはどれか。,2022(第68回),免疫学
次の文を読み、問いに答えよ。38歳の女性。発熱を主訴に来院した。間接蛍光抗体法による抗核抗体検査所見(別冊No.19)を別に示す。この所見を示す自己抗体はどれか。,2022(第68回),免疫学
検査まで検体を全血のまま冷蔵保存してもよいのはどれか。,2022(第68回),免疫学
抗原抗体反応に関与しないのはどれか。,2022(第68回),免疫学
乳癌の腫瘍マーカーはどれか。,2022(第68回),免疫学
直接抗グロブリン試験について正しいのはどれか。,2022(第68回),免疫学
血液型検査の結果を以下に示す。血液型を確定するために必要な検査はどれか。,2022(第68回),免疫学
胎児・新生児溶血性疾患の原因となる不規則抗体はどれか。2つ選べ。,2022(第68回),免疫学
貯血式自己血輸血について正しいのはどれか。2つ選べ。,2022(第68回),免疫学
A型患者の骨髄移植で、ドナー血液型と移植後1週間の輸血用血液製剤の血液型との組合せで正しいのはどれか。,2022(第68回),免疫学
オモテ検査でB型、ウラ検査でO型と判定された。原因となるのはどれか。2つ選べ。,2022(第68回),免疫学
2019年の我が国の簡易生命表で0歳男性と0歳女性の平均余命の差に最も近いのはどれか。,2022(第68回),公衆衛生学
要因Aは疾患Bのリスクファクターであると判定するために不可欠なのはどれか。,2022(第68回),公衆衛生学
ヘルスプロモーションに含まれないのはどれか。,2022(第68回),公衆衛生学
がん対策基本法の基本的施策に含まれないのはどれか。,2022(第68回),公衆衛生学
公衆衛生の事業とそれを規定する法律との組合せで正しいのはどれか。,2022(第68回),公衆衛生学
2byteで表せる状態の数はどれか。,2022(第68回),医用工学概論
臨床検査情報の一次利用はどれか。,2022(第68回),医用工学概論
滅菌について正しいのはどれか。2つ選べ。,2022(第68回),微生物学
トランスデューサでないのはどれか。,2022(第68回),医用工学概論
"カラーRGB各1byteの階調、1,000×1,000画素、60フレーム/秒、15秒の動画がある。データを圧縮しない場合、動画ファイルのおよそのサイズ[byte]はどれか。",2022(第68回),医用工学概論
光学顕微鏡について正しいのはどれか。,2022(第68回),臨床検査総論
