question_text,year,subject
次の文を読み下記の問いに答えよ。78歳の男性。心不全患者の左室流入血流速波形と計測値（別冊No.5）を別に示す。この波形の記録に用いたのはどれか。,2023(第69回),生理学
次の文を読み下記の問いに答えよ。78歳の男性。心不全患者の左室流入血流速波形と計測値（別冊No.5）を別に示す。この波形はどれか。,2023(第69回),生理学
頸動脈超音波検査の右総頸動脈長軸像（別冊No.6）を別に示す。内中膜複合体厚〈IMT〉の計測方法として正しいのはどれか。,2023(第69回),生理学
下腹部正中横走査と右縦走査による女性骨盤腔の超音波像（別冊No.7）を別に示す。矢印で示すのはどれか。,2023(第69回),生理学
標準純音聴力検査の骨導聴力検査において音が直接伝わるのはどれか。,2023(第69回),生理学
グリコアルブミン〈GA〉について正しいのはどれか。,2023(第69回),臨床化学
血漿血糖値が高い順に並んでいるのはどれか。,2023(第69回),臨床化学
アポリポ蛋白と主要機能の組合せで誤っているのはどれか。,2023(第69回),臨床化学
Michaelis-Mentenの式について正しいのはどれか。2 つ選べ。ただし、［S］は基質濃度、Vmaxは最大反応速度、KmはMichaelis定数とする。,2023(第69回),臨床化学
血中濃度が低下するとテタニーを生じるのはどれか。,2023(第69回),臨床化学
誤っているのはどれか。,2023(第69回),臨床化学
グリセロール骨格構造を含むのはどれか。2つ選べ。,2023(第69回),臨床化学
実効線量を表す単位はどれか。,2023(第69回),臨床化学
塩基性アミノ酸はどれか。2つ選べ。,2023(第69回),臨床化学
"溶液Aを30倍希釈して吸光度を測定したとき、0.300であった。この物質の測定波長におけるモル吸光係数を6,000L・mol－1・cm－1とすると、溶液Aの濃度は何mmol/Lか。ただし、使用した光路長は1.0cmとする。",2023(第69回),臨床化学
MALDI-TOF-MSによる物質測定で正しいのはどれか。,2023(第69回),臨床化学
ALPアイソザイムについて誤っているのはどれか。,2023(第69回),臨床化学
二重の膜構造を有するのはどれか。2つ選べ。,2023(第69回),臨床化学
血中LD/AST比が1のとき、最も考えられるのはどれか。,2023(第69回),臨床化学
欠乏すると巨赤芽球性貧血を引き起こすのはどれか。2つ選べ。,2023(第69回),臨床化学
ビタミンB6の誘導体を補酵素とするのはどれか。,2023(第69回),臨床化学
子宮頸部擦過細胞診のPapanicolaou染色標本（別冊No.8）を別に示す。Bethesdaシステムによる判定はどれか。,2023(第69回),病理学
病理解剖の目的として正しいのはどれか。2つ選べ。,2023(第69回),病理学
H-E染色標本（別冊No.9Ａ）とパラフィンブロックの肉眼写真（別冊No.9Ｂ）を別に示す。H-E染色標本にみられる問題の原因はどれか。,2023(第69回),病理学
気管支の特殊染色標本（別冊No.10）を別に示す。染色法はどれか。,2023(第69回),病理学
甲状腺濾胞細胞で産生されるのはどれか。,2023(第69回),病理学
平滑筋で構成されるのはどれか。,2023(第69回),病理学
血栓の誘因となりにくいのはどれか。,2023(第69回),病理学
我が国における肺の悪性腫瘍のうち最も頻度が高いのはどれか。,2023(第69回),病理学
遺伝子解析の際に推奨される脱灰液はどれか。,2023(第69回),病理学
細胞診検査材料のうち、最も低速遠心で集細胞法を行うのはどれか。,2023(第69回),病理学
急性炎症で特徴的にみられる現象はどれか。2つ選べ。,2023(第69回),病理学
静脈血が流れているのはどれか。2つ選べ。,2023(第69回),病理学
H-E染色のエオジン液に加えるのはどれか。,2023(第69回),病理学
縦隔に含まれない臓器はどれか。,2023(第69回),病理学
正しいのはどれか。,2023(第69回),血液学
血液塗抹標本の染色法について誤っているのはどれか。,2023(第69回),血液学
赤血球沈降速度が遅延するのはどれか。2つ選べ。,2023(第69回),血液学
自動血球計数測定値の誤差要因とその影響の組合せで正しいのはどれか。2つ選べ。,2023(第69回),血液学
引きガラス（ウェッジ）法での末梢血液塗抹標本の作製について誤っているのはどれか。,2023(第69回),血液学
末梢血細胞のMay-Giemsa染色標本（別冊No.11Ａ）とフローサイトメトリの所見（別冊No.11Ｂ）を別に示す。考えられるのはどれか。,2023(第69回),血液学
骨髄芽球に当てはまるのはどれか。2つ選べ。,2023(第69回),血液学
フィブリノゲンについて正しいのはどれか。2つ選べ。,2023(第69回),血液学
正しいのはどれか。,2023(第69回),血液学
世代時間が最も長いのはどれか。,2023(第69回),微生物学
多剤耐性結核菌の判定に用いないのはどれか。,2023(第69回),微生物学
腸管感染症患者の下痢便のGram染色標本（別冊No.12）を別に示す。矢印で示すのはどれか。,2023(第69回),微生物学
カルバペネム系抗菌薬が有効なのはどれか。,2023(第69回),微生物学
真菌に分類されるのはどれか。2つ選べ。,2023(第69回),微生物学
培地と使用目的の組合せで正しいのはどれか。2つ選べ。,2023(第69回),微生物学
WHOが提唱している手指衛生のタイミングに含まれないのはどれか。,2023(第69回),微生物学
細菌と毒素の組合せで誤っているのはどれか。,2023(第69回),微生物学
ハートインフュージョンブイヨンで培養した菌の染色標本（別冊No.13）を別に示す。染色法はどれか。,2023(第69回),微生物学
血中薬物濃度測定による治療薬物モニタリング〈TDM〉の対象となるのはどれか。,2023(第69回),微生物学
ウイルスと疾患の組合せで正しいのはどれか。,2023(第69回),微生物学
主要組織適合性遺伝子複合体〈MHC〉について正しいのはどれか。,2023(第69回),免疫学
B細胞はどれか。,2023(第69回),免疫学
間接（受身）凝集反応で検出できないのはどれか。,2023(第69回),免疫学
間接蛍光抗体法による抗核抗体検査所見（別冊No.14）を別に示す。この所見から考えられるのはどれか。,2023(第69回),免疫学
抗ミトコンドリア抗体が検出されるのはどれか。,2023(第69回),免疫学
抗体を精製する方法でないのはどれか。,2023(第69回),免疫学
受血者と供血者の血液型を以下に示す。輸血を行った場合、受血者が産生する可能性のある不規則抗体はどれか。,2023(第69回),免疫学
緊急輸血が必要な患者が搬送された。血液型の確定ができない状況下で使用する輸血用血液製剤と血液型の組合せで正しいのはどれか。,2023(第69回),免疫学
輸血検査の内部精度管理で、確認する必要性が低い項目はどれか。,2023(第69回),免疫学
ABO血液型について誤っているのはどれか。,2023(第69回),免疫学
Th2細胞が産生するサイトカインはどれか。2つ選べ。,2023(第69回),免疫学
特定原材料として食品への表示が義務付けられているのはどれか。2つ選べ。,2023(第69回),公衆衛生学
統合失調症で入院が必要と診断されたが、本人が入院を拒んだため、父親の同意によって入院させた。この場合の入院形態はどれか。,2023(第69回),公衆衛生学
保健所の業務はどれか。2つ選べ。,2023(第69回),公衆衛生学
公的医療保険の給付対象に含まれないのはどれか。,2023(第69回),公衆衛生学
水道水質基準において、人の健康の保護のため「検出されないこと」と規定されているのはどれか。,2023(第69回),公衆衛生学
100Mの負荷につながれた装置の消費電力が100Wであった。この装置の負荷を200Mに変えたときの消費電力［W］はどれか。,2023(第69回),医用工学概論
医用電気機器のクラス別分類で正しいのはどれか。,2023(第69回),医用工学概論
静止画の標準的なファイル拡張子はどれか。2つ選べ。,2023(第69回),医用工学概論
医療情報システムで保健医療情報交換の標準規格はどれか。,2023(第69回),医用工学概論
37℃の媒質中における音速［m/s］として誤っているのはどれか。,2023(第69回),医用工学概論
物理量の変化が電気抵抗の変化として現れるトランスデューサはどれか。2つ選べ。,2023(第69回),医用工学概論
尿沈渣の無染色標本（別冊No.1）を別に示す。矢印が示す構造物はどれか。,2023(第69回),一般・医動物学
結核性髄膜炎において、髄液の測定値が低値となるのはどれか。2つ選べ。,2023(第69回),一般・医動物学
PCR 法の原理で正しいのはどれか。,2023(第69回),病理学
出生児における染色体異常のうち最も発生数が多いのはどれか。,2023(第69回),病理学
囊虫症をきたすのはどれか。,2023(第69回),一般・医動物学
77歳の男性。西日本在住。農作業で虫に刺されたため診療所を受診し、マダニ咬症と診断された。3日後に39℃の発熱があり再診した。考えられる疾患はどれか。,2023(第69回),一般・医動物学
滲出性胸水の所見はどれか。,2023(第69回),一般・医動物学
真核生物におけるmRNAの開始コドンはどれか。,2023(第69回),病理学
尿定性試験紙法でアスコルビン酸による影響がないのはどれか。,2023(第69回),一般・医動物学
発現蛋白の機能亢進により発がん性を発揮するのはどれか。,2023(第69回),病理学
ペルオキシダーゼに対する抗好中球細胞質抗体〈MPO-ANCA〉が陽性となるのはどれか。,2023(第69回),免疫学
急性期の過換気症候群で低下するのはどれか。,2023(第69回),臨床化学
深夜に血中濃度が高値を示すのはどれか。,2023(第69回),臨床化学
伝音性難聴を呈するのはどれか。2つ選べ。,2023(第69回),臨床検査総論
自己免疫疾患はどれか。,2023(第69回),免疫学
冠動脈の左前下行枝が灌流する左室壁はどれか。2つ選べ。,2023(第69回),生理学
標準12誘導心電図（別冊No.2）を別に示す。認められる所見はどれか。2つ選べ。,2023(第69回),生理学
右足の足関節上腕血圧比〈ABI〉の算出に用いるのはどれか。,2023(第69回),生理学
パルスオキシメータで測定できるのはどれか。2つ選べ。,2023(第69回),生理学
1回呼吸法による肺拡散能力測定のスパイログラム（別冊No.3）を別に示す。ガスを採取する部分はどれか。,2023(第69回),生理学
機能と部位の組合せで誤っているのはどれか。,2023(第69回),生理学
脳波（別冊No.4）を別に示す。所見はどれか。,2023(第69回),生理学
神経伝導検査で評価できる神経線維はどれか。,2023(第69回),生理学
超音波検査で深度に応じて受信の感度を変える機能はどれか。,2023(第69回),生理学
心エコーの傍胸骨左室長軸像（別冊No.5）を別に示す。最も考えられるのはどれか。,2023(第69回),生理学
右上腹部超音波像（別冊No.6）を別に示す。最も考えられるのはどれか。,2023(第69回),生理学
医療用MRI検査で使用するのはどれか。2つ選べ。,2023(第69回),生理学
熱画像検査〈サーモグラフィ〉で高温相を示すことが多い病態はどれか。,2023(第69回),生理学
ステロイド骨格を持つのはどれか。,2023(第69回),臨床化学
BNPについて誤っているのはどれか。,2023(第69回),臨床化学
尿酸について誤っているのはどれか。,2023(第69回),臨床化学
非抱合ビリルビンについて正しいのはどれか。,2023(第69回),臨床化学
酵素反応で過酸化水素を発生しないのはどれか。,2023(第69回),臨床化学
カルシウムについて正しいのはどれか。2つ選べ。,2023(第69回),臨床化学
ポルフィリン環を含むのはどれか。2つ選べ。,2023(第69回),臨床化学
Michaelis-Mentenの式に従う酵素反応で、反応速度がVmaxの75％となる基質濃度はKm値の何倍か。ただし、Vmaxは最大反応速度、KmはMichaelis定数とする。,2023(第69回),臨床化学
鉄代謝で正しいのはどれか。,2023(第69回),臨床化学
コレステロールの含有率が最も高いのはどれか。,2023(第69回),臨床化学
血清中の半減期が最も短いのはどれか。,2023(第69回),臨床化学
血中（1或3）-β-D-グルカンが高値となるのはどれか。,2023(第69回),臨床化学
肝臓の解毒機能の評価に用いられるのはどれか。2つ選べ。,2023(第69回),臨床化学
下垂体後葉から分泌されるのはどれか。,2023(第69回),臨床化学
生化学自動分析装置の終点分析法における2ポイント法で、影響を回避できるのはどれか。,2023(第69回),臨床化学
濃度を窒素量として表示するのはどれか。2つ選べ。,2023(第69回),臨床化学
粘膜筋板を有する臓器はどれか。,2023(第69回),病理学
Bethesdaシステムの判定で陰性はどれか。,2023(第69回),病理学
親水性封入剤を使用する染色法はどれか。,2023(第69回),病理学
透過型電子顕微鏡写真（別冊No.7）を別に示す。矢印で示す細胞小器官はどれか。,2023(第69回),病理学
門脈圧亢進症で起こりにくいのはどれか。,2023(第69回),病理学
ヘモジデリンを染色する方法はどれか。,2023(第69回),病理学
Papanicolaou染色と比較したGiemsa染色の特徴として正しいのはどれか。,2023(第69回),病理学
パラフィン包埋による標本作製時の工程で切り出しを行うのはいつか。,2023(第69回),病理学
特定の遺伝子配列を検出するのはどれか。,2023(第69回),病理学
細胞診検査材料で乾燥固定しないのはどれか。,2023(第69回),病理学
心臓の内腔を展開した肉眼写真（別冊No.8）を別に示す。枠内の名称はどれか。,2023(第69回),病理学
病理解剖において、剖検医の直接指示のもとで行う臨床検査技師の役割として適切でないのはどれか。,2023(第69回),病理学
銀液を加温しないのはどれか。,2023(第69回),病理学
腫瘍と免疫組織化学的マーカーの組合せで正しいのはどれか。,2023(第69回),病理学
PT正常、APTT延長のときに考えられるのはどれか。2つ選べ。,2023(第69回),血液学
末梢血検査で赤血球数300万/pL、ヘモグロビン6.0g/dL、ヘマトクリット22.5％であった。診断に最も有用な血液検査項目はどれか。,2023(第69回),血液学
32歳の男性。アフリカ系アメリカ人。貧血の精査で採血した末梢血のMay-Giemsa染色標本（別冊No.9）を別に示す。この疾患について誤っているのはどれか。,2023(第69回),血液学
放射線の影響を最も受けにくいのはどれか。,2023(第69回),血液学
染色体異常とそれに伴う融合遺伝子との組合せで正しいのはどれか。,2023(第69回),血液学
67歳の男性。汎血球減少症の精査のため骨髄検査を行った。骨髄穿刺液のMay-Giemsa染色標本（別冊No.10Ａ、Ｂ）及び鉄染色標本（別冊No.10Ｃ）を別に示す。最も考えられるのはどれか。,2023(第69回),血液学
79歳の女性。貧血と腰椎の溶骨性病変を指摘されて受診した。血清と尿の免疫固定法による蛋白電気泳動の結果（別冊No.11Ａ、Ｂ）を別に示す。考えられるのはどれか。,2023(第69回),血液学
末梢血のMay-Giemsa染色標本（別冊No.12）を別に示す。最も考えられるのはどれか。,2023(第69回),血液学
MCVが正常である患者の赤血球の大きさを測定し、健常人と比較した成績（別冊No.13）を別に示す。考えられるのはどれか。,2023(第69回),血液学
薬剤感受性検査でスキップ現象が認められたため再検査を行った。初回と再検査の微量液体希釈法の結果（別冊No.14）を別に示す。最小発育阻止濃度〈MIC値〉［pg/mL］はどれか。,2023(第69回),微生物学
初尿を用いて検索を行うのはどれか。,2023(第69回),微生物学
ブドウ糖発酵菌はどれか。2つ選べ。,2023(第69回),微生物学
Salmonella enterica subsp. enterica serovar Typhiについて正しいのはどれか。2つ選べ。,2023(第69回),微生物学
肺炎が疑われた患者の喀痰のGram染色標本（別冊No.15）を別に示す。分離菌はブドウ糖を発酵し、オキシダーゼ試験と運動性は陰性であった。考えられるのはどれか。,2023(第69回),微生物学
真菌について正しいのはどれか。,2023(第69回),微生物学
検査が有用でないのはどれか。,2023(第69回),微生物学
蛋白合成阻害薬はどれか。2つ選べ。,2023(第69回),微生物学
Mycobacterium属について正しいのはどれか。,2023(第69回),微生物学
選択分離培地と目的菌の組合せで正しいのはどれか。2 つ選べ。,2023(第69回),微生物学
消毒用エタノールに対して抵抗性を示すのはどれか。,2023(第69回),微生物学
抗原抗体反応で正しいのはどれか。,2023(第69回),免疫学
RPRカードテストについて正しいのはどれか。,2023(第69回),免疫学
フローサイトメトリで誤っているのはどれか。,2023(第69回),免疫学
自然免疫に関与するのはどれか。2つ選べ。,2023(第69回),免疫学
自己免疫性膵炎で上昇するのはどれか。,2023(第69回),免疫学
HLAについて正しいのはどれか。,2023(第69回),免疫学
不規則抗体同定検査の結果を以下に示す。可能性の高い抗体はどれか。2つ選べ。,2023(第69回),免疫学
多特異性抗グロブリン試薬に含まれるのはどれか。2つ選べ。,2023(第69回),免疫学
同一患者の試験管法とカラム凝集法の反応像（別冊No.16）を別に示す。凝集反応の判定として正しいのはどれか。,2023(第69回),免疫学
末梢血幹細胞の採取時期の指標となるのはどれか。,2023(第69回),免疫学
間接抗グロブリン試験で使用される反応増強剤はどれか。2つ選べ。,2023(第69回),免疫学
法律とそれに規定されている内容の組合せで正しいのはどれか。,2023(第69回),公衆衛生学
女性労働者の産前産後休暇を規定しているのはどれか。,2023(第69回),公衆衛生学
医療計画に含まれないのはどれか。,2023(第69回),公衆衛生学
健康診断と根拠法の組合せで正しいのはどれか。,2023(第69回),公衆衛生学
ある疾患の罹患率を調べるために行うのはどれか。,2023(第69回),公衆衛生学
正しいのはどれか。2つ選べ。,2023(第69回),臨床検査総論
DNAシークエンサーの原理（Sanger法）について誤っているのはどれか。,2023(第69回),病理学
電子レンジと同じ2.4GHzの電波を使用しているのはどれか。2つ選べ。,2023(第69回),医用工学概論
判断を表すフローチャート記号はどれか。,2023(第69回),医用工学概論
遠心分離機において、回転数を1/2にすると遠心力は何倍になるか。,2023(第69回),医用工学概論
"1,000種類の検査項目をコード化する場合、最小限必要な記憶容量［bit］はどれか。",2023(第69回),医用工学概論
